rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
10442,21492,Thailand,primary,80.0,67.0,74.04474327234533,-7.044743272345329
10443,41737,Thailand,secondary,60.0,76.5,83.5492180225784,-7.049218022578401
10444,18583,Thailand,primary,80.0,69.0,76.0494358013839,-7.049435801383893
10445,15370,Thailand,secondary,80.0,66.0,73.05016856989072,-7.050168569890715
10446,13962,Thailand,trunk,90.0,84.0,91.0570742400342,-7.057074240034197
10447,37959,Thailand,secondary,80.0,71.0,78.06319115155831,-7.063191151558314
10448,50102,Thailand,secondary,80.0,66.0,73.06465592191104,-7.06465592191104
10449,SE/6233,India,secondary,45.0,34.888888888888886,41.954310138338506,-7.065421249449621
10450,36604,Thailand,primary,80.0,66.0,73.06627052004724,-7.06627052004724
10451,55645,Thailand,primary,90.0,83.0,90.06710784205845,-7.067107842058448
10452,PR/4123,India,primary,55.0,49.5,56.57322899910737,-7.073228999107371
10453,TR/13256,India,trunk,55.0,56.0,63.07497035607477,-7.074970356074772
10454,51404,Thailand,secondary,90.0,70.0,77.07768139707156,-7.077681397071558
